Name,Price,Currency,Date,Change,From
America Fund,10.890,USD,11/10/2018,-0.290,10/10/2018
American Diversified USD Shares,24.700,USD,11/10/2018,-0.610,10/10/2018
American Growth Fund,51.060,USD,11/10/2018,-1.160,10/10/2018
ASEAN Fund,30.280,USD,11/10/2018,-0.500,10/10/2018
Asia Focus Fund USD,8.097,USD,11/10/2018,-0.202,10/10/2018
Asia Pacific Property Fund A-USD,9.288,USD,11/10/2018,-0.058,10/10/2018
Asian Special Situations Fund,45.090,USD,11/10/2018,-1.030,10/10/2018
Australia Fund,58.930,AUD,11/10/2018,-1.740,10/10/2018
China Consumer Fund A-Acc-EUR,19.640,EUR,11/10/2018,-0.450,10/10/2018
China Focus Fund (A-USD),64.450,USD,11/10/2018,-1.590,10/10/2018
Emerging Eur Mid East & Africa-A-Eur,14.760,EUR,11/10/2018,-0.180,10/10/2018
Emerging Eur Mid East & Africa-A-Eur Acc,15.780,EUR,11/10/2018,-0.190,10/10/2018
Emerging Eur Mid East & Africa-A-GBP,19.100,GBP,11/10/2018,-0.170,10/10/2018
Emerging Eur Mid East & Africa-A-USD,12.740,USD,11/10/2018,-0.120,10/10/2018
Emerging Eur Mid East & Africa-A-USD Acc,13.640,USD,11/10/2018,-0.140,10/10/2018
Emerging Markets Fund,24.190,USD,11/10/2018,-0.450,10/10/2018
Euro Balanced Fund,17.030,EUR,11/10/2018,-0.180,10/10/2018
Euro Blue Chip Fund,21.270,EUR,11/10/2018,-0.420,10/10/2018
European Fund EUR Shares Acc,15.160,EUR,11/10/2018,-0.280,10/10/2018
European Growth Fund,14.880,EUR,11/10/2018,-0.340,10/10/2018
European Larger Companies Fund,46.760,EUR,11/10/2018,-1.050,10/10/2018
European Smaller Companies Fund,51.200,EUR,11/10/2018,-1.190,10/10/2018
FF - Global Opportunities Fund A-ACC-Eur,18.920,EUR,11/10/2018,-0.470,10/10/2018
FF - Global Opportunities Fund A-USD,17.090,USD,11/10/2018,-0.380,10/10/2018
FF European Dynamic Growth,54.420,EUR,11/10/2018,-0.680,10/10/2018
France Fund,48.750,EUR,11/10/2018,-1.040,10/10/2018
Germany Fund,50.050,EUR,11/10/2018,-0.560,10/10/2018
Global Focus Fund USD Shares,66.810,USD,11/10/2018,-1.380,10/10/2018
Global Property Fund EUR Shares Acc,15.340,EUR,11/10/2018,-0.350,10/10/2018
Global Property Fund EUR Shares Inc,13.720,EUR,11/10/2018,-0.310,10/10/2018
Global Property Fund GBP Shares Inc,1.738,GBP,11/10/2018,-0.034,10/10/2018
Global Property Fund USD Shares Acc,15.080,USD,11/10/2018,-0.310,10/10/2018
Global Property Fund USD Shares Inc,13.510,USD,11/10/2018,-0.280,10/10/2018
Greater China Fund,215.400,USD,11/10/2018,-5.300,10/10/2018
Iberia Fund,69.600,EUR,11/10/2018,-0.820,10/10/2018
India Focus Fund EUR Shares,43.410,EUR,11/10/2018,-0.700,10/10/2018
India Focus Fund GBP Shares,5.659,GBP,11/10/2018,-0.072,10/10/2018
India Focus Fund USD Shares,41.280,USD,11/10/2018,-0.570,10/10/2018
Indonesia Fund,22.650,USD,11/10/2018,-0.460,10/10/2018
International Fund,56.480,USD,11/10/2018,-1.300,10/10/2018
Italy Fund,33.950,EUR,11/10/2018,-0.650,10/10/2018
Japan Advantage Fund,35045.000,JPY,11/10/2018,-831.000,10/10/2018
Japan Fund,198.100,JPY,11/10/2018,-5.400,10/10/2018
Japan Smaller Companies Fund,2344.000,JPY,11/10/2018,-54.000,10/10/2018
Latin America Fund,33.610,USD,11/10/2018,-0.390,10/10/2018
Malaysia Fund,41.260,USD,11/10/2018,-0.400,10/10/2018
Nordic Fund,1304.000,SEK,11/10/2018,-41.000,10/10/2018
Nordic Fund A-ACC-EUR,16.420,EUR,11/10/2018,-0.410,10/10/2018
Pacific Fund,33.030,USD,11/10/2018,-0.990,10/10/2018
Singapore Fund,50.570,USD,11/10/2018,-1.010,10/10/2018
Switzerland Fund,57.210,CHF,11/10/2018,-1.330,10/10/2018
Taiwan Fund,11.930,USD,11/10/2018,-0.570,10/10/2018
Thailand Fund,55.670,USD,11/10/2018,-0.640,10/10/2018
United Kingdom Fund,2.632,GBP,11/10/2018,-0.044,10/10/2018
World Fund,22.950,EUR,11/10/2018,-0.500,10/10/2018
Fidelity Target TM 2015 Euro Fund,31.400,EUR,11/10/2018,0.010,10/10/2018
Fidelity Target TM 2020 Euro Fund,42.230,EUR,11/10/2018,-0.240,10/10/2018
Fidelity Target TM 2020 Fund A USD,22.950,USD,11/10/2018,-0.170,10/10/2018
Fidelity Target TM 2025 Euro Fund,36.480,EUR,11/10/2018,-0.540,10/10/2018
Fidelity Target TM 2030 Euro Fund,38.660,EUR,11/10/2018,-0.740,10/10/2018
Global Consumer Industries Fund,52.450,EUR,11/10/2018,-1.230,10/10/2018
Global Financial Services Fund,33.870,EUR,11/10/2018,-1.000,10/10/2018
Global Health Care Fund,42.000,EUR,11/10/2018,-1.080,10/10/2018
Global Industrials Fund,51.440,EUR,11/10/2018,-1.160,10/10/2018
Global Infrastructure Fund A-Euro,9.845,EUR,11/10/2018,-0.205,10/10/2018
Global Technology Fund,21.050,EUR,11/10/2018,-0.370,10/10/2018
Growth & Income Fund,18.610,USD,11/10/2018,-0.130,10/10/2018
Multi-Asset Strategic Fund-A-Acc-Euro,13.590,EUR,11/10/2018,-0.090,10/10/2018
Multi-Asset Strategic Fund-A-Euro,12.630,EUR,11/10/2018,-0.090,10/10/2018
Multi-Asset Strategic Fund-A-USD,11.520,USD,11/10/2018,-0.050,10/10/2018
FPS Global Growth Fund,25.840,USD,11/10/2018,-0.240,10/10/2018
